Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
LAC_001	5819447	2095909	891700	1760845	0	0	0	0	97265	0	0	0	0	887028	51033	35667	36.015604231811025	5819447.0	4058602.0	69.74	1760845.0	30.26	LAC_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5819447.0	0.0	20-51	42.0	15.411343647579848	50.29887805490797	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5824117	1826042	5824117	297029967	121298	293748857	1.1046393847527174	0.0173	0.6367	0.3461
LAC_002	5689890	2030964	1006740	1654434	0	0	0	0	74206	0	0	0	0	837550	42781	43215	35.694257709727246	5689890.0	4035456.0	70.92	1654434.0	29.08	LAC_002_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5689890.0	0.0	20-51	43.0	16.62857235003161	50.37199471343031	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	5694537	2228974	5694537	290421387	379508	286665367	1.2933000695296593	0.0117	0.6984	0.2899
LAC_003	4579695	1119254	1067661	1348936	0	0	0	0	54153	0	0	0	0	939928	28601	21162	24.43948778248333	4579695.0	3230759.0	70.55	1348936.0	29.45	LAC_003_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4579695.0	0.0	20-51	44.0	12.80825348400691	50.34343531610729	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	4584282	1319550	4584282	233798382	110075	231496819	0.9844221248716768	0.0173	0.6139	0.3688
LAC_004	5126930	1356952	906962	1567260	0	0	0	0	65145	0	0	0	0	1162146	35728	32737	26.467145055618076	5126930.0	3559670.0	69.43	1567260.0	30.57	LAC_004_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5126930.0	0.0	20-51	42.0	13.09403708245152	50.48484375640003	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5131192	1545051	5131192	261690792	115171	259040334	1.0128205045900125	0.017	0.6046	0.3784
LAC_005	6501384	2882733	872126	2031554	0	0	0	0	34463	0	0	0	0	565208	56760	58540	44.34029738898671	6501384.0	4469830.0	68.75	2031554.0	31.25	LAC_005_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6501384.0	0.0	20-51	41.0	16.306171819905092	50.407398947670224	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	6511445	2639895	6511445	332083695	617392	327842476	1.27715364043995	0.011000000000000001	0.7241	0.2649
LAC_006	4411984	1829780	515485	1484243	0	0	0	0	32647	0	0	0	0	465137	45932	38760	41.472951851139996	4411984.0	2927741.0	66.36	1484243.0	33.64	LAC_006_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4411984.0	0.0	20-51	42.0	18.207554030435663	50.40463564691078	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	4417490	1389290	4417490	225291990	124888	223232503	0.9141412439918524	0.0156	0.6826	0.3018
LAC_007	6998861	2257275	1606953	1816363	0	0	0	0	77675	0	0	0	0	1146547	49566	44482	32.252033580892665	6998861.0	5182498.0	74.05	1816363.0	25.95	LAC_007_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6998861.0	0.0	20-51	43.0	14.82606599568591	50.53224817581032	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	7007670	2796865	7007670	357391170	601417	352569781	1.3490509572466494	0.0129	0.7192	0.2679
LAC_008	6053630	2231222	999383	1657588	0	0	0	0	45241	0	0	0	0	1028621	48923	42652	36.8575879265829	6053630.0	4396042.0	72.62	1657588.0	27.38	LAC_008_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6053630.0	0.0	20-51	42.0	15.747605419205742	50.54570200028743	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	6058986	2277173	6058986	309008286	410595	305407559	1.1652525719002886	0.0114	0.6731	0.3154
LAC_009	5081932	1815749	648489	1772187	0	0	0	0	29014	0	0	0	0	763372	35262	17859	35.72950208700156	5081932.0	3309745.0	65.13	1772187.0	34.87	LAC_009_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5081932.0	0.0	20-51	42.0	15.85939893707235	50.39370892802186	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	5087812	1617173	5087812	259478412	157613	256977628	0.9637734332981812	0.0155	0.6353	0.3492
LAC_010	5778993	2196434	466650	2187449	0	0	0	0	49918	0	0	0	0	783157	52612	42773	38.00720990663945	5778993.0	3591544.0	62.15	2187449.0	37.85	LAC_010_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5778993.0	0.0	20-51	41.0	16.030348609066042	50.51331001785259	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	5783283	1956719	5783283	294947433	123097	292124405	0.957129198001869	0.0149	0.6155	0.3696
LAC_011	6182671	2778373	363642	2006008	0	0	0	0	32018	0	0	0	0	891780	65432	45418	44.938069646597725	6182671.0	4176663.0	67.55	2006008.0	32.45	LAC_011_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6182671.0	0.0	20-51	41.0	16.07871830904001	50.44985314599465	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	6188645	2107460	6188645	315620895	161403	312658478	0.9385997717293084	0.0138	0.6147	0.3716
LAC_012	5633913	2323745	826293	1632879	0	0	0	0	26726	0	0	0	0	733337	54783	36150	41.24566708786593	5633913.0	4001034.0	71.02	1632879.0	28.98	LAC_012_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5633913.0	0.0	20-51	42.0	16.007553968410793	50.46565699541331	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	5638645	2072829	5638645	287570895	383134	284375339	1.1112237210236453	0.0122	0.6274	0.3604
LAC_013	4894727	2061378	575372	1516142	0	0	0	0	38973	0	0	0	0	614492	46332	42038	42.114258874907634	4894727.0	3378585.0	69.02	1516142.0	30.98	LAC_013_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4894727.0	0.0	20-51	42.0	19.31616512332437	50.447160791602876	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	4899735	1608245	4899735	249886485	96564	247672583	0.8859630803962848	0.0138	0.6596	0.3266
LAC_014	5648890	1915182	1467256	1484621	0	0	0	0	50127	0	0	0	0	651183	43508	37013	33.90368727307489	5648890.0	4164269.0	73.72	1484621.0	26.28	LAC_014_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5648890.0	0.0	20-51	43.0	14.94704332697636	50.55710927279519	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	5653566	1727975	5653566	288331866	123981	285824506	0.8696090497329907	0.0134	0.6803	0.3063
LAC_015	5263830	1093380	1578682	1152584	0	0	0	0	63904	0	0	0	0	1321585	33162	20533	20.77156747083397	5263830.0	4111246.0	78.1	1152584.0	21.9	LAC_015_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5263830.0	0.0	20-51	44.0	12.2276090474272	50.346627265698174	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5271192	2042112	5271192	268830792	475933	265105526	1.3857289086140099	0.016	0.6979	0.28600000000000003
LAC_016	5816133	1554961	882505	1528286	0	0	0	0	45679	0	0	0	0	1727165	44112	33425	26.735306775137364	5816133.0	4287847.0	73.72	1528286.0	26.28	LAC_016_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5816133.0	0.0	20-51	43.0	12.895489870449	50.52776165882039	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5824443	1854137	5824443	297046593	135771	294291233	0.9275851213011556	0.0153	0.7026	0.2821
LAC_017	6508244	1343697	2668203	1403777	0	0	0	0	61879	0	0	0	0	971213	29734	29741	20.646075961503595	6508244.0	5104467.0	78.43	1403777.0	21.57	LAC_017_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6508244.0	0.0	20-51	46.0	11.62310175509414	50.57253492647172	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	6514787	2441698	6514787	332254137	467411	328219929	1.2141934593879866	0.0121	0.6726	0.3153
LAC_018	5079680	1358165	1273993	1415657	0	0	0	0	45626	0	0	0	0	922993	30382	32864	26.73721573012473	5079680.0	3664023.0	72.13	1415657.0	27.87	LAC_018_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5079680.0	0.0	20-51	44.0	14.111280063409026	50.40495779261686	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5084186	1943963	5084186	259293486	344079	256093880	1.2339708372002836	0.0138	0.6342	0.35200000000000004
LAC_019	7198643	1232629	3824461	1681182	0	0	0	0	64172	0	0	0	0	330243	31108	34848	17.12307444611436	7198643.0	5517461.0	76.65	1681182.0	23.35	LAC_019_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7198643.0	0.0	20-51	46.0	10.907945394786337	50.44752406807783	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	7204332	2660737	7204332	367420932	460312	363219854	1.1433964791096878	0.0096	0.7055	0.2849
LAC_020	6410807	2269181	692204	2508562	0	0	0	0	37818	0	0	0	0	795302	53253	54487	35.396183351019616	6410807.0	3902245.0	60.87	2508562.0	39.13	LAC_020_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6410807.0	0.0	20-51	41.0	14.690896006958726	50.43471578539176	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	6415000	2144740	6415000	327165000	144920	324073046	0.9450748093469656	0.016	0.6832	0.3008
LAC_021	5601304	1799108	859808	2123426	0	0	0	0	57249	0	0	0	0	679802	42041	39870	32.11944932822786	5601304.0	3477878.0	62.09	2123426.0	37.91	LAC_021_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5601304.0	0.0	20-51	42.0	14.556177039077802	50.380217356529826	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5606495	2253255	5606495	285931245	372829	282257281	1.2849116926693338	0.0177	0.6678	0.3145
LAC_022	5575295	1484651	1236612	1843280	0	0	0	0	53541	0	0	0	0	895060	35672	26479	26.629102137196327	5575295.0	3732015.0	66.94	1843280.0	33.06	LAC_022_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5575295.0	0.0	20-51	43.0	13.106316715156396	50.3815679708428	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5580846	2203900	5580846	284623146	393638	280959287	1.28726670739561	0.0187	0.6990000000000001	0.2823
LAC_023	11558684	2840231	3063136	3589264	0	0	0	0	168515	0	0	0	0	1778117	69694	49727	24.57226964592163	11558684.0	7969420.0	68.95	3589264.0	31.05	LAC_023_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11558684.0	0.0	20-51	43.0	9.778644454623668	50.32333153151345	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	11569793	3435038	11569793	590059443	368390	584060360	1.016691296303854	0.0215	0.7201	0.2584
LAC_024	4475660	1618346	909560	1421251	0	0	0	0	28772	0	0	0	0	424742	33777	39212	36.158823503125795	4475660.0	3054409.0	68.24	1421251.0	31.76	LAC_024_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4475660.0	0.0	20-51	43.0	19.41524561678669	50.467095579199494	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	4479056	1449816	4479056	228431856	89388	226454192	0.8657566569874563	0.0106	0.6601	0.3292
LAC_025	6906304	2972017	422886	2400986	0	0	0	0	41399	0	0	0	0	940392	60763	67861	43.03339383844094	6906304.0	4505318.0	65.23	2400986.0	34.77	LAC_025_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6906304.0	0.0	20-51	41.0	17.457177375057512	50.46241274638359	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	6912001	2345787	6912001	352512051	147593	349329033	0.9029529603230501	0.013000000000000001	0.6696	0.3175
LAC_026	10753230	3793417	2283946	3404133	0	0	0	0	100438	0	0	0	0	997573	80857	92866	35.27700049194521	10753230.0	7349097.0	68.34	3404133.0	31.66	LAC_026_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10753230.0	0.0	20-51	43.0	14.402418290267756	50.43365351619932	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	10761168	4026129	10761168	548819568	837288	542415320	1.166913203065675	0.0119	0.6652	0.32299999999999995
LAC_027	13023144	5435219	1018127	4482345	0	0	0	0	113817	0	0	0	0	1736167	113670	123799	41.73507564686378	13023144.0	8540799.0	65.58	4482345.0	34.42	LAC_027_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13023144.0	0.0	20-51	41.0	11.846662214149294	50.52561961996274	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	13033446	4964010	13033446	664705746	1057203	656817193	1.1867737036231367	0.0132	0.6836	0.3032
LAC_028	5835109	2631819	273953	2234515	0	0	0	0	39783	0	0	0	0	541420	59616	54003	45.103167738597506	5835109.0	3600594.0	61.71	2234515.0	38.29	LAC_028_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5835109.0	0.0	20-51	40.0	15.875366129671777	50.42825215432994	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	5838938	2240140	5838938	297785838	321297	294300105	1.1705502932614278	0.017	0.6268	0.3562
LAC_029	6687662	3027926	275389	2517702	0	0	0	0	41768	0	0	0	0	695674	68907	60296	45.27630134417679	6687662.0	4169960.0	62.35	2517702.0	37.65	LAC_029_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6687662.0	0.0	20-51	40.0	15.046182647879007	50.434681357999246	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	6691960	2539337	6691960	341289960	360865	337342051	1.1567609548197668	0.0159	0.616	0.3681
LAC_030	10731862	4653382	750948	4016044	0	0	0	0	119351	0	0	0	0	990268	107283	94586	43.36043456391817	10731862.0	6715818.0	62.58	4016044.0	37.42	LAC_030_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10731862.0	0.0	20-51	40.0	12.694878474668267	50.37820175101022	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	10738333	4186626	10738333	547654983	717848	540730213	1.2644402433931656	0.0168	0.6438	0.3393
LAC_031	13597152	5915070	886283	4996471	0	0	0	0	139043	0	0	0	0	1409066	136230	114989	43.502271652181285	13597152.0	8600681.0	63.25	4996471.0	36.75	LAC_031_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13597152.0	0.0	20-51	40.0	11.362901007203414	50.3851440360452	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	13605582	5251699	13605582	693884682	909508	685198220	1.25185959934478	0.0182	0.6274	0.3543
LAC_032	4681201	1949997	427292	1684719	0	0	0	0	63434	0	0	0	0	471647	40662	43450	41.65591266002036	4681201.0	2996482.0	64.01	1684719.0	35.99	LAC_032_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4681201.0	0.0	20-51	41.0	17.96777444386748	50.35900808360931	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	4684263	1552624	4684263	238897413	97886	236352347	1.065338451362803	0.0165	0.6406	0.3429
LAC_033	4540281	1834969	547398	1568655	0	0	0	0	39581	0	0	0	0	470253	40606	38819	40.41531790653486	4540281.0	2971626.0	65.45	1568655.0	34.55	LAC_033_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4540281.0	0.0	20-51	41.0	18.813451757600912	50.40214977883528	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	4543688	1464776	4543688	231728088	108411	229499720	0.961630512396063	0.0196	0.6529	0.3275
LAC_034	9612330	3718529	1315701	3264156	0	0	0	0	213789	0	0	0	0	938495	79621	82039	38.68499104795611	9612330.0	6348174.0	66.04	3264156.0	33.96	LAC_034_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9612330.0	0.0	20-51	42.0	13.595970040837125	50.268986603664246	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	9618478	3118788	9618478	490542378	253772	484696826	1.1916507649824293	0.0197	0.6635	0.3169
LAC_035	9928188	3708273	1693052	3232966	0	0	0	0	141509	0	0	0	0	990796	83826	77766	37.35095467571726	9928188.0	6695222.0	67.44	3232966.0	32.56	LAC_035_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9928188.0	0.0	20-51	42.0	13.111194055177991	50.480199508711955	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	9935333	3091714	9935333	506701983	303232	501528658	1.020979821190082	0.0221	0.6792	0.2987
LAC_036	11745013	4722385	855896	4554767	0	0	0	0	109788	0	0	0	0	1298757	111395	92025	40.20757576002685	11745013.0	7190246.0	61.22	4554767.0	38.78	LAC_036_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11745013.0	0.0	20-51	41.0	12.725028464582286	50.39684468633624	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	11754264	3988318	11754264	599467464	265446	593422263	1.008428540835704	0.0187	0.6731	0.3082
LAC_037	6294921	2997010	343705	2323636	0	0	0	0	23232	0	0	0	0	478133	68275	60930	47.60997000597784	6294921.0	3971285.0	63.09	2323636.0	36.91	LAC_037_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6294921.0	0.0	20-51	41.0	13.6637272657055	50.53474999924543	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	6301799	2122329	6301799	321391749	143195	318445713	0.9166495434828354	0.0183	0.6817	0.3
LAC_038	9491030	2898677	1468869	3592716	0	0	0	0	177250	0	0	0	0	1236604	63500	53414	30.5412268215357	9491030.0	5898314.0	62.15	3592716.0	37.85	LAC_038_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9491030.0	0.0	20-51	42.0	12.763345132261382	50.279122076318366	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	9498280	3906067	9498280	484412280	692829	477287772	1.4707529710023042	0.021	0.7276	0.2514
LAC_039	14677181	6390749	1054256	5427002	0	0	0	0	172528	0	0	0	0	1349872	161163	121611	43.542073917327855	14677181.0	9250179.0	63.02	5427002.0	36.98	LAC_039_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14677181.0	0.0	20-51	41.0	9.719648620244687	50.46120941071722	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	14688055	5057414	14688055	749090805	414335	741149268	1.0601567856649905	0.0198	0.6646	0.3156
LAC_040	11517545	3372836	1977752	4372313	0	0	0	0	179107	0	0	0	0	1481097	70728	63712	29.284330992412013	11517545.0	7145232.0	62.04	4372313.0	37.96	LAC_040_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11517545.0	0.0	20-51	42.0	10.466903440155926	50.47764745004253	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	11523994	4762567	11523994	587723694	758651	579493656	1.4003243503740719	0.018000000000000002	0.7288	0.2532
LAC_041	11640926	5361393	878507	4220216	0	0	0	0	65483	0	0	0	0	882767	124403	108157	46.05641338154714	11640926.0	7420710.0	63.75	4220216.0	36.25	LAC_041_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11640926.0	0.0	20-51	41.0	10.50452530172474	50.400518566993725	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	11653546	3860079	11653546	594330846	331767	588737383	0.9411362438354748	0.0193	0.6904	0.2903
LAC_042	9891932	4408251	520586	3729404	0	0	0	0	76368	0	0	0	0	977497	96309	83517	44.56410537395526	9891932.0	6162528.0	62.3	3729404.0	37.7	LAC_042_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9891932.0	0.0	20-51	41.0	13.362793774863125	50.498661030019214	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	9897713	3810375	9897713	504783363	662174	498757932	1.1936667175776154	0.0159	0.62	0.3641
LAC_043	13367703	3702002	2316761	5120020	0	0	0	0	201516	0	0	0	0	1864736	83548	79120	27.693628441625307	13367703.0	8247683.0	61.7	5120020.0	38.3	LAC_043_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13367703.0	0.0	20-51	42.0	9.986950435667957	50.474032823739435	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	13375167	4058261	13375167	682133517	383747	675089932	1.0325815730294925	0.0182	0.7332	0.2486
LAC_044	11739651	4874301	1015631	4233026	0	0	0	0	116005	0	0	0	0	1295412	106997	98279	41.51998215279142	11739651.0	7506625.0	63.94	4233026.0	36.06	LAC_044_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11739651.0	0.0	20-51	41.0	12.29114131346313	50.387682734350456	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	11746517	3905617	11746517	599072367	335603	593143983	0.9895939667001866	0.0146	0.6268	0.3587
LAC_045	12476952	3517332	2040223	4807473	0	0	0	0	155174	0	0	0	0	1800979	82504	73267	28.19063502047616	12476952.0	7669479.0	61.47	4807473.0	38.53	LAC_045_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12476952.0	0.0	20-51	42.0	11.05293215044486	50.331531290654965	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	12484943	5163832	12484943	636732093	830501	628081122	1.3586516362384768	0.015	0.7354	0.2496
LAC_046	5701092	1543261	1074269	1828945	0	0	0	0	54066	0	0	0	0	1124360	38345	37846	27.06956842654004	5701092.0	3872147.0	67.92	1828945.0	32.08	LAC_046_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5701092.0	0.0	20-51	42.0	14.232344202281801	50.52957503580015	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5705918	2229816	5705918	291001818	376992	287315514	1.2667632200153471	0.0124	0.7009	0.2867
LAC_047	5509480	1759592	704057	2047122	0	0	0	0	48684	0	0	0	0	864279	43208	42538	31.93753312472321	5509480.0	3462358.0	62.84	2047122.0	37.16	LAC_047_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5509480.0	0.0	20-51	42.0	16.444810794951817	50.39360320756224	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	5512821	2159605	5512821	281153871	289341	277682200	1.2347939538061703	0.013000000000000001	0.6959	0.2911
LAC_048	10389884	2630169	2343667	3194345	0	0	0	0	146353	0	0	0	0	1943394	67188	64768	25.314709962113145	10389884.0	7195539.0	69.26	3194345.0	30.74	LAC_048_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10389884.0	0.0	20-51	43.0	10.505970661946026	50.50035861805579	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	10398235	4161383	10398235	530309985	853772	522974923	1.383164980384067	0.0135	0.7186	0.2678
LAC_049	10431777	3131109	1716741	3719317	0	0	0	0	142179	0	0	0	0	1568770	78761	74900	30.015106726303678	10431777.0	6712460.0	64.35	3719317.0	35.65	LAC_049_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10431777.0	0.0	20-51	43.0	12.92891065937364	50.33204994700328	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	10437926	3231827	10437926	532334226	324499	526913157	1.0183581545628442	0.0142	0.7153	0.2706
LAC_050	6634710	678349	5103343	642554	0	0	0	0	7106	0	0	0	0	175479	14196	13683	10.224244918014502	6634710.0	5992156.0	90.32	642554.0	9.68	LAC_050_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6634710.0	0.0	20-51	51.0	8.052424460272224	50.64447398605214	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	6638892	1704254	6638892	338583492	149458	336215271	0.6994496353059056	0.0046	0.708	0.2874
LAC_051	6085159	2708621	354730	2203795	0	0	0	0	41088	0	0	0	0	609702	77174	90049	44.51191825883269	6085159.0	3881364.0	63.78	2203795.0	36.22	LAC_051_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6085159.0	0.0	20-51	41.0	18.713089125648555	50.459785685139856	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	6087804	2013086	6087804	310478004	123617	307769401	0.8723977109824501	0.0117	0.7149	0.2734
LAC_052	13123587	1285833	10129198	1275006	0	0	0	0	20576	0	0	0	0	361013	27185	24776	9.797877668658732	13123587.0	11848581.0	90.28	1275006.0	9.72	LAC_052_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13123587.0	0.0	20-51	50.0	6.6795331850276565	50.451056711857824	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	13131662	4771156	13131662	669714762	845664	662196287	1.1226383867584508	0.0055	0.7120000000000001	0.2825
