Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
LAC_053	11890326	5123911	890935	4284802	0	0	0	0	113721	0	0	0	0	1156983	149729	170245	43.0931077919983	11890326.0	7605524.0	63.96	4284802.0	36.04	LAC_053_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11890326.0	0.0	20-51	41.0	12.116777272588086	50.5438262163712	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	11895255	4592954	11895255	606658005	779933	599604693	1.162650445863646	0.0122	0.7229	0.2649
LAC_054	5049871	1942198	475394	1810060	0	0	0	0	32084	0	0	0	0	694576	49495	46064	38.460348789107684	5049871.0	3239811.0	64.16	1810060.0	35.84	LAC_054_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5049871.0	0.0	20-51	41.0	16.924221700358082	50.52933827418562	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5052557	1935121	5052557	257680407	251637	254767454	1.130451877934204	0.0159	0.6587	0.3255
LAC_055	6975157	2772148	640461	2619992	0	0	0	0	44221	0	0	0	0	751610	67166	79559	39.743162770386384	6975157.0	4355165.0	62.44	2619992.0	37.56	LAC_055_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6975157.0	0.0	20-51	41.0	15.368510247581241	50.52666441773282	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	6978639	2653768	6978639	355910589	345104	351923960	1.1201209301474309	0.0124	0.6688	0.3187
LAC_056	10548747	3863094	1297737	3671896	0	0	0	0	104023	0	0	0	0	1419392	101223	91382	36.62135417599834	10548747.0	6876851.0	65.19	3671896.0	34.81	LAC_056_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10548747.0	0.0	20-51	42.0	11.923533593129369	50.512064323848136	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	10554407	3448866	10554407	538274757	300707	533121468	0.9573714785960138	0.0168	0.6777	0.3055
LAC_057	13806028	5288169	1542742	5097541	0	0	0	0	128668	0	0	0	0	1464447	132180	152281	38.303333877057185	13806028.0	8708487.0	63.08	5097541.0	36.92	LAC_057_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13806028.0	0.0	20-51	42.0	13.25890481107536	50.41015381107441	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	13812801	5331289	13812801	704452851	929864	696042446	1.19389182513224	0.0134	0.6846	0.302
LAC_058	11607817	4183580	1473342	4350394	0	0	0	0	63474	0	0	0	0	1342871	94703	99453	36.041057504610905	11607817.0	7257423.0	62.52	4350394.0	37.48	LAC_058_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11607817.0	0.0	20-51	42.0	14.031879098613894	50.44327499304994	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	11614542	4471841	11614542	592341642	617294	585614830	1.1356304407853872	0.0116	0.6907	0.2976
LAC_059	11674088	4797748	1338356	3931794	0	0	0	0	109226	0	0	0	0	1265542	109252	122170	41.097411635067346	11674088.0	7742294.0	66.32	3931794.0	33.68	LAC_059_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11674088.0	0.0	20-51	42.0	14.272464310455348	50.41941074968769	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	11680271	4475482	11680271	595693821	788044	588671901	1.1787800632566912	0.0116	0.6853	0.3031
LAC_060	11183182	2964513	2204557	4495975	0	0	0	0	76645	0	0	0	0	1311486	69771	60235	26.508671682174178	11183182.0	6687207.0	59.8	4495975.0	40.2	LAC_060_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11183182.0	0.0	20-51	42.0	11.42341009900713	50.55358465953608	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	11189530	4498174	11189530	570666030	717701	563603828	1.2375367778593724	0.0147	0.7205	0.2648
LAC_061	11539668	1988237	5210967	3389189	0	0	0	0	147121	0	0	0	0	719326	46107	38721	17.229585807841268	11539668.0	8150479.0	70.63	3389189.0	29.37	LAC_061_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11539668.0	0.0	20-51	46.0	11.1559281709315	50.340083007587396	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11546121	4600435	11546121	588852171	752824	580983477	1.3362766391159318	0.0114	0.7578	0.2308
LAC_062	11709615	4660136	1504171	4025940	0	0	0	0	97482	0	0	0	0	1204632	100688	116566	39.797516826983646	11709615.0	7683675.0	65.62	4025940.0	34.38	LAC_062_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11709615.0	0.0	20-51	42.0	11.990054613005118	50.5359007106553	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	11714825	4480691	11714825	597456075	756214	590520001	1.1609345507115314	0.011000000000000001	0.6708	0.3181
LAC_063	9774002	3375692	2147645	3162316	0	0	0	0	84813	0	0	0	0	847121	72966	83449	34.53745968130557	9774002.0	6611686.0	67.65	3162316.0	32.35	LAC_063_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9774002.0	0.0	20-51	43.0	14.500929583273232	50.43418980270313	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	9778413	3117806	9778413	498699063	271072	494282848	0.8855470819282449	0.0095	0.6664	0.3241
LAC_064	9420504	5043680	1091469	2017091	0	0	0	0	126605	0	0	0	0	959281	95949	86429	53.53938600312679	9420504.0	7403413.0	78.59	2017091.0	21.41	LAC_064_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9420504.0	0.0	20-51	42.0	11.743183260432215	50.530338079576204	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	9424821	3095926	9424821	480665871	259994	476237771	0.9212428564540208	0.0089	0.7782	0.2129
LAC_065	6714853	3991873	333561	1416644	0	0	0	0	53231	0	0	0	0	802313	63233	53998	59.448404901790106	6714853.0	5298209.0	78.9	1416644.0	21.1	LAC_065_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6714853.0	0.0	20-51	42.0	13.756041752898419	50.52524738814089	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	6719205	2468342	6719205	342679455	369360	338922384	1.0963805810885277	0.0092	0.7764	0.2144
LAC_066	6527294	2220506	545933	2404643	0	0	0	0	36761	0	0	0	0	1226970	50219	42262	34.018783281402676	6527294.0	4122651.0	63.16	2404643.0	36.84	LAC_066_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6527294.0	0.0	20-51	42.0	15.253671272764091	50.42281487550585	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	6530703	2159079	6530703	333065853	149254	329903903	0.9493467947913592	0.0146	0.6556	0.3298
LAC_067	7027581	2086722	1102953	2212633	0	0	0	0	54908	0	0	0	0	1486173	47036	37156	29.69331836943609	7027581.0	4814948.0	68.52	2212633.0	31.48	LAC_067_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7027581.0	0.0	20-51	42.0	13.654350739370791	50.504947434970866	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	7031839	2263131	7031839	358623789	173915	355133496	0.9732463676580028	0.0141	0.6664	0.3196
LAC_068	6794019	2618375	651035	2567435	0	0	0	0	69241	0	0	0	0	768800	59277	59856	38.53941238610019	6794019.0	4226584.0	62.21	2567435.0	37.79	LAC_068_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6794019.0	0.0	20-51	41.0	15.62193664459343	50.485425931249246	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	6797607	2214824	6797607	346677957	153121	343173654	1.0108237138365277	0.0181	0.6576	0.3244
LAC_069	8199405	3281685	516699	3165526	0	0	0	0	64558	0	0	0	0	1013880	73672	83385	40.02345292127905	8199405.0	5033879.0	61.39	3165526.0	38.61	LAC_069_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8199405.0	0.0	20-51	41.0	14.572524142378175	50.41976326330997	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	8203358	2732678	8203358	418371258	170393	414373066	0.9556564710284186	0.0151	0.6227	0.3621
LAC_070	7697681	3123702	520609	2809799	0	0	0	0	37313	0	0	0	0	1082011	71714	52533	40.57977980641183	7697681.0	4887882.0	63.5	2809799.0	36.5	LAC_070_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7697681.0	0.0	20-51	41.0	13.952496801490884	50.510957261024465	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	7701645	2630800	7701645	392783895	186460	389009138	0.9610264188657736	0.0147	0.6709	0.3144
LAC_071	7013317	2978474	296659	2620860	0	0	0	0	30240	0	0	0	0	941424	74728	70932	42.46883464700084	7013317.0	4392457.0	62.63	2620860.0	37.37	LAC_071_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7013317.0	0.0	20-51	41.0	14.752522293988214	50.53894483879739	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	7016663	2674816	7016663	357849813	325005	353954714	1.0884731131604644	0.0146	0.6481	0.3372
LAC_072	6517620	2571212	941753	1612453	0	0	0	0	30368	0	0	0	0	1248729	60886	52219	39.4501673923917	6517620.0	4905167.0	75.26	1612453.0	24.74	LAC_072_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6517620.0	0.0	20-51	42.0	14.825110906525197	50.416490989042	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	6523081	2634482	6523081	332677131	412957	328660892	1.2072482974490963	0.0112	0.6691	0.3197
LAC_073	6471646	2442973	708505	1607679	0	0	0	0	25897	0	0	0	0	1586590	53793	46209	37.74886636259153	6471646.0	4863967.0	75.16	1607679.0	24.84	LAC_073_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6471646.0	0.0	20-51	42.0	13.919141806467481	50.454030705635006	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	6476050	2498653	6476050	330278550	353849	326572946	1.121963264038794	0.0107	0.6726	0.3167
LAC_074	7052153	1073324	1041761	1145280	0	0	0	0	32715	0	0	0	0	3717541	25663	15869	15.219805923098946	7052153.0	5906873.0	83.76	1145280.0	16.24	LAC_074_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7052153.0	0.0	20-51	43.0	8.625760547183328	50.42280492212804	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	7057383	2698986	7057383	359926533	420268	355654517	1.1869133304490225	0.0115	0.7796	0.2088
LAC_075	9421989	1413675	3836050	1663610	0	0	0	0	72878	0	0	0	0	2388455	28845	18476	15.003997563571767	9421989.0	7758379.0	82.34	1663610.0	17.66	LAC_075_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9421989.0	0.0	20-51	43.0	8.747516278486343	50.21861212107125	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	9437856	4512559	9437856	481330656	1089692	473368744	1.6541460430062451	0.0157	0.8545	0.1299
LAC_076	9981556	4074459	1117154	3633097	0	0	0	0	64926	0	0	0	0	886744	109632	95544	40.81987818332132	9981556.0	6348459.0	63.6	3633097.0	36.4	LAC_076_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9981556.0	0.0	20-51	42.0	15.105964621866775	50.404645628397006	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	9988394	3923165	9988394	509408094	681304	503197319	1.2192140394219964	0.0163	0.7371	0.2466
LAC_077	8151767	3246597	879223	2963777	0	0	0	0	96667	0	0	0	0	832710	79741	53052	39.826911146994256	8151767.0	5187990.0	63.64	2963777.0	36.36	LAC_077_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8151767.0	0.0	20-51	42.0	14.018463349942415	50.34244379163438	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	8156862	3239513	8156862	415999962	466910	410445971	1.3350941123403277	0.0186	0.7132	0.2681
LAC_078	9281455	3583548	1491385	3001090	0	0	0	0	90100	0	0	0	0	951302	92791	71239	38.609765387000216	9281455.0	6280365.0	67.67	3001090.0	32.33	LAC_078_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9281455.0	0.0	20-51	42.0	14.531030971803384	50.36235557894748	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	9287536	2858637	9287536	473664336	241663	469198870	0.9427490441247828	0.0178	0.7182	0.2641
LAC_079	7680286	2764449	1629009	2255551	0	0	0	0	120227	0	0	0	0	782809	77151	51090	35.99408928261265	7680286.0	5424735.0	70.63	2255551.0	29.37	LAC_079_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7680286.0	0.0	20-51	43.0	14.331905307979145	50.476283305074844	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	7686776	3206726	7686776	392025576	568027	386286065	1.4640654465870868	0.0215	0.752	0.2266
LAC_080	8532617	2977349	1521418	2798399	0	0	0	0	94682	0	0	0	0	1004613	79574	56582	34.89373775947051	8532617.0	5734218.0	67.2	2798399.0	32.8	LAC_080_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8532617.0	0.0	20-51	42.0	14.08015860387182	50.33541022642878	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	8538225	2603865	8538225	435449475	232144	431240057	0.9666834481773116	0.0184	0.7624	0.2192
LAC_081	8187091	2556967	1622400	2478771	0	0	0	0	89736	0	0	0	0	1327477	66251	45489	31.23169145182336	8187091.0	5708320.0	69.72	2478771.0	30.28	LAC_081_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8187091.0	0.0	20-51	43.0	12.114334649156039	50.504339453415135	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	8192687	2475917	8192687	417827037	223250	413762536	0.9727711804346448	0.0187	0.7616	0.2197
LAC_082	8890701	3579588	1174425	2992780	0	0	0	0	135088	0	0	0	0	885260	82110	41450	40.26215705600717	8890701.0	5897921.0	66.34	2992780.0	33.66	LAC_082_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8890701.0	0.0	20-51	42.0	13.548225907077146	50.42534295102264	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	8898279	2918806	8898279	453812229	234249	448648305	1.1378988202629507	0.0205	0.6741	0.3054
LAC_083	8708797	3307593	1486238	2694803	0	0	0	0	121116	0	0	0	0	997692	65027	36328	37.979906983708545	8708797.0	6013994.0	69.06	2694803.0	30.94	LAC_083_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8708797.0	0.0	20-51	43.0	13.669852797058446	50.44753242037907	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	8716558	3515335	8716558	444544458	638222	438140163	1.4406421865684356	0.0143	0.6972	0.2886
LAC_084	6587335	2230679	1438606	1999408	0	0	0	0	89061	0	0	0	0	742672	51604	35305	33.863147995357764	6587335.0	4587927.0	69.65	1999408.0	30.35	LAC_084_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6587335.0	0.0	20-51	43.0	16.498084703132186	50.29700174653331	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	6595266	1946753	6595266	336358566	171305	333092338	0.9710553944982628	0.0185	0.7586	0.2229
LAC_085	5853158	1809871	1604374	1583582	0	0	0	0	71414	0	0	0	0	719099	38931	25887	30.921273609904254	5853158.0	4269576.0	72.94	1583582.0	27.06	LAC_085_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5853158.0	0.0	20-51	43.0	15.942477244598033	50.264749217431	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5859433	1628215	5859433	298831083	169958	296010580	0.9438452558832376	0.0171	0.7726	0.2103
LAC_086	9254033	2760857	3529089	1913341	0	0	0	0	79369	0	0	0	0	860841	61393	49143	29.83409503726645	9254033.0	7340692.0	79.32	1913341.0	20.68	LAC_086_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9254033.0	0.0	20-51	42.0	11.060212978317619	50.224392759351524	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	9271202	2046069	9271202	472831302	297755	469358909	0.7343830633277321	0.0121	0.8157	0.1722
LAC_087	13757713	1601337	9508791	1249018	0	0	0	0	86011	0	0	0	0	1251185	36236	25135	11.63955811550946	13757713.0	12508695.0	90.92	1249018.0	9.08	LAC_087_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13757713.0	0.0	20-51	45.0	5.816176525206201	50.759746187465886	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	13782936	8424693	13782936	702929736	1514839	688000114	2.1239138473436268	0.0101	0.9091	0.0808
LAC_088	13687570	1851319	6591303	2766004	0	0	0	0	104574	0	0	0	0	2312277	37682	24411	13.525549093082265	13687570.0	10921566.0	79.79	2766004.0	20.21	LAC_088_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13687570.0	0.0	20-51	43.0	7.5587111290363325	50.10479939098028	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	13714654	7301852	13714654	699447354	1525611	686177530	1.8971869611218803	0.0124	0.8651	0.1225
LAC_089	13458580	1372704	7959366	1393202	0	0	0	0	91204	0	0	0	0	2603500	25162	13442	10.19947126665666	13458580.0	12065378.0	89.65	1393202.0	10.35	LAC_089_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13458580.0	0.0	20-51	47.0	6.552001952125795	50.629129744742755	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	13487176	2996880	13487176	687845976	374955	682825998	0.7298113495106061	0.0081	0.7631	0.2288
LAC_090	10475269	1090888	5824072	1170723	0	0	0	0	65205	0	0	0	0	2282738	26977	14666	10.413937818685133	10475269.0	9304546.0	88.82	1170723.0	11.18	LAC_090_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10475269.0	0.0	20-51	46.0	7.871709561377847	50.27713999516385	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	10484765	2363503	10484765	534723015	309809	530889258	0.7169612850870091	0.0104	0.7828	0.2068
LAC_091	15444928	7144347	2647572	4170681	0	0	0	0	125069	0	0	0	0	812823	343455	200981	46.25691359648941	15444928.0	11274247.0	73.0	4170681.0	27.0	LAC_091_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15444928.0	0.0	20-51	40.0	11.468808361806428	50.322679264027656	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	15456233	4451188	15456233	788267883	399285	781781521	0.8228626511223722	0.011000000000000001	0.8134	0.1757
LAC_092	16242673	7578901	2885334	4193720	0	0	0	0	148794	0	0	0	0	867222	355012	213690	46.66042959801013	16242673.0	12048953.0	74.18	4193720.0	25.82	LAC_092_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16242673.0	0.0	20-51	40.0	10.901576567052603	50.30813887591039	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	16253844	7095727	16253844	828946044	1083877	817273808	1.4080815132040123	0.0105	0.8163	0.1732
LAC_093	14506662	6689920	2536148	3896780	0	0	0	0	117879	0	0	0	0	764729	330333	170873	46.11619130576007	14506662.0	10609882.0	73.14	3896780.0	26.86	LAC_093_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14506662.0	0.0	20-51	42.0	9.594653581007307	50.5708071918957	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	14515797	4179664	14515797	740305647	374661	734073170	0.8418788949208164	0.0115	0.8149	0.1736
LAC_094	11556857	5639096	1752608	3076714	0	0	0	0	81455	0	0	0	0	586848	262806	157330	48.794373764424016	11556857.0	8480143.0	73.38	3076714.0	26.62	LAC_094_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11556857.0	0.0	20-51	40.0	12.705491946566848	50.34142128781208	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	11564908	3409634	11564908	589810308	309195	584942839	0.8252600766685821	0.0097	0.8155	0.1748
LAC_095	15712500	7122869	2910317	4188831	0	0	0	0	127258	0	0	0	0	858330	316693	188202	45.332499602227536	15712500.0	11523669.0	73.34	4188831.0	26.66	LAC_095_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15712500.0	0.0	20-51	40.0	10.422505965399825	50.32053288782817	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	15721498	4459764	15721498	801796398	419271	795270435	0.8139177247837923	0.0108	0.8304	0.1588
LAC_096	16296203	6799410	4130197	4016899	0	0	0	0	122959	0	0	0	0	718830	310563	197345	41.723891142004064	16296203.0	12279304.0	75.35	4016899.0	24.65	LAC_096_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16296203.0	0.0	20-51	42.0	10.35022562623071	50.381982600486744	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	16305743	6660003	16305743	831592893	1024457	821148188	1.2559877661195933	0.0091	0.8002	0.1907
LAC_097	12386343	5742084	2264884	3217596	0	0	0	0	86258	0	0	0	0	635515	272427	167579	46.35818659308885	12386343.0	9168747.0	74.02	3217596.0	25.98	LAC_097_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12386343.0	0.0	20-51	40.0	11.737336047471931	50.34578729169699	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	12395384	3494883	12395384	632164584	311936	627264022	0.7752035030168662	0.0099	0.8257	0.1644
LAC_099	18214453	8393056	2755574	5271229	0	0	0	0	153328	0	0	0	0	1026912	351504	262850	46.079099932344946	18214453.0	12943224.0	71.06	5271229.0	28.94	LAC_099_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18214453.0	0.0	20-51	42.0	8.832255918045139	50.57206971848125	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	18228948	5356682	18228948	929676348	502362	921868637	0.8398310892598937	0.0109	0.8078	0.1813
LAC_100	12826145	5795164	2256555	3494987	0	0	0	0	133180	0	0	0	0	722733	261929	161597	45.18243010662986	12826145.0	9331158.0	72.75	3494987.0	27.25	LAC_100_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12826145.0	0.0	20-51	42.0	10.1828996761094	50.55755864291258	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	12835251	3715503	12835251	654597801	342212	648911046	0.8687403152458802	0.0108	0.8154	0.1738
LAC_101	12605744	4472066	1565560	5636543	0	0	0	0	152162	0	0	0	0	482791	156393	140229	35.476414561488795	12605744.0	6969201.0	55.29	5636543.0	44.71	LAC_101_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12605744.0	0.0	20-51	41.0	15.70060111803328	50.44316567114166	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	12623065	4137307	12623065	643776315	365288	637403439	0.9899208547304198	0.0154	0.8013	0.1833
LAC_102	11041652	3874691	1019252	5356171	0	0	0	0	97142	0	0	0	0	436197	135685	122514	35.091587744297684	11041652.0	5685481.0	51.49	5356171.0	48.51	LAC_102_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11041652.0	0.0	20-51	41.0	18.368086227746545	50.459623342594035	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	11047455	3690589	11047455	563420205	268995	558304783	0.9079230660533376	0.0211	0.7905	0.1884
LAC_103	10881281	579298	341030	9717247	0	0	0	0	18246	0	0	0	0	197336	17891	10233	5.323803327935378	10881281.0	1164034.0	10.7	9717247.0	89.3	LAC_103_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10881281.0	0.0	20-51	39.0	20.148651629257017	50.5437222878446	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	10885809	3500172	10885809	555176259	337346	550175302	0.9007872579075829	0.0247	0.7545	0.2207
LAC_104	12626659	668813	315141	11351294	0	0	0	0	18056	0	0	0	0	241931	19744	11680	5.296832677591119	12626659.0	1275365.0	10.1	11351294.0	89.9	LAC_104_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12626659.0	0.0	20-51	38.0	20.785674798264857	50.409789636355896	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	12634096	5255269	12634096	644338896	716781	636585709	1.2032778167096714	0.0221	0.7404	0.2374
LAC_105	10791541	1470117	1262569	7532894	0	0	0	0	29107	0	0	0	0	432994	41771	22089	13.622864426869153	10791541.0	3258647.0	30.2	7532894.0	69.8	LAC_105_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10791541.0	0.0	20-51	48.0	10.772242395697589	50.4061349532935	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	10797443	3205819	10797443	550669593	249074	545823389	0.8800565823143245	0.0184	0.7521	0.2295
LAC_106	13471327	2134908	1298795	9356066	0	0	0	0	39207	0	0	0	0	538934	65473	37944	15.847792871481776	13471327.0	4115261.0	30.55	9356066.0	69.45	LAC_106_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13471327.0	0.0	20-51	48.0	11.222937827724321	50.43273962542814	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	13479098	4068329	13479098	687433998	318621	681571985	0.8527383017212952	0.019	0.7446	0.2365
LAC_107	8383486	2404320	797093	4787574	0	0	0	0	48997	0	0	0	0	184117	91844	69541	28.67923916137034	8383486.0	3595912.0	42.89	4787574.0	57.11	LAC_107_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8383486.0	0.0	20-51	45.0	18.614705852065075	50.430551682199976	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	8388307	2515616	8388307	427803657	221799	424043246	0.8790039398845064	0.0096	0.8161	0.1744
